Time,Failure_7
2017-3-17 4:00 AM,44.85
2017-3-17 5:00 AM,45.47
2017-3-17 6:00 AM,44.29
2017-3-17 7:00 AM,45.94
2017-3-17 8:00 AM,24.67
2017-3-17 9:00 AM,27.81
2017-3-17 10:00 AM,37.54
2017-3-17 11:00 AM,41.00
2017-3-17 12:00 PM,45.09
2017-3-17 1:00 PM,40.89
2017-3-17 2:00 PM,40.34
2017-3-17 3:00 PM,33.34
2017-3-17 4:00 PM,34.88
2017-3-17 5:00 PM,39.57
2017-3-17 6:00 PM,39.50
2017-3-17 7:00 PM,42.19
2017-3-17 8:00 PM,41.75
2017-3-17 9:00 PM,45.11
2017-3-17 10:00 PM,44.64
2017-3-17 11:00 PM,45.48
2017-3-18 12:00 AM,48.94
2017-3-18 1:00 AM,47.92
2017-3-18 2:00 AM,50.93
2017-3-18 3:00 AM,51.98
2017-3-18 4:00 AM,50.10
2017-3-18 5:00 AM,53.70
2017-3-18 6:00 AM,51.20
2017-3-18 7:00 AM,54.30
2017-3-18 8:00 AM,18.10
2017-3-18 9:00 AM,11.40
2017-3-18 10:00 AM,12.61
2017-3-18 11:00 AM,15.15
2017-3-18 12:00 PM,15.99
2017-3-18 1:00 PM,15.53
2017-3-18 2:00 PM,13.46
2017-3-18 3:00 PM,17.35
2017-3-18 4:00 PM,15.64
2017-3-18 5:00 PM,17.42
2017-3-18 6:00 PM,17.21
2017-3-18 7:00 PM,15.32
2017-3-18 8:00 PM,18.36
2017-3-18 9:00 PM,18.20
2017-3-18 10:00 PM,19.90
2017-3-18 11:00 PM,18.72
2017-3-19 12:00 AM,22.14
2017-3-19 1:00 AM,21.10
2017-3-19 2:00 AM,21.80
2017-3-19 3:00 AM,23.27
2017-3-19 4:00 AM,25.46
2017-3-19 5:00 AM,24.35
2017-3-19 6:00 AM,24.65
2017-3-19 7:00 AM,26.03
2017-3-19 8:00 AM,28.45
2017-3-19 9:00 AM,26.81
2017-3-19 10:00 AM,26.29
2017-3-19 11:00 AM,26.80
2017-3-19 12:00 PM,23.19
2017-3-19 1:00 PM,22.45
2017-3-19 2:00 PM,23.92
2017-3-19 3:00 PM,27.09
2017-3-19 4:00 PM,26.74
2017-3-19 5:00 PM,28.46
2017-3-19 6:00 PM,28.10
2017-3-19 7:00 PM,29.36
2017-3-19 8:00 PM,29.32
2017-3-19 9:00 PM,27.34
2017-3-19 10:00 PM,30.45
2017-3-19 11:00 PM,30.59
2017-3-20 12:00 AM,29.69
2017-3-20 1:00 AM,27.45
2017-3-20 2:00 AM,25.70
2017-3-20 3:00 AM,27.81
2017-3-20 4:00 AM,25.15
2017-3-20 5:00 AM,25.85
2017-3-20 6:00 AM,25.84
2017-3-20 7:00 AM,25.03
2017-3-20 8:00 AM,27.42
2017-3-20 9:00 AM,25.12
2017-3-20 10:00 AM,26.15
2017-3-20 11:00 AM,26.01
2017-3-20 12:00 PM,25.02
2017-3-20 1:00 PM,26.96
2017-3-20 2:00 PM,26.89
2017-3-20 3:00 PM,25.50
2017-3-20 4:00 PM,26.08
2017-3-20 5:00 PM,25.86
2017-3-20 6:00 PM,26.33
2017-3-20 7:00 PM,24.85
2017-3-20 8:00 PM,27.43
2017-3-20 9:00 PM,25.24
2017-3-20 10:00 PM,26.61
2017-3-20 11:00 PM,27.09
2017-3-21 12:00 AM,25.93
2017-3-21 1:00 AM,26.86
2017-3-21 2:00 AM,25.83
2017-3-21 3:00 AM,25.38
2017-3-21 4:00 AM,27.33
2017-3-21 5:00 AM,26.56
2017-3-21 6:00 AM,32.03
2017-3-21 7:00 AM,32.13
2017-3-21 8:00 AM,31.13
2017-3-21 9:00 AM,32.10
2017-3-21 10:00 AM,30.17
2017-3-21 11:00 AM,32.11
2017-3-21 12:00 PM,29.71
2017-3-21 1:00 PM,29.74
2017-3-21 2:00 PM,29.22
2017-3-21 3:00 PM,31.36
2017-3-21 4:00 PM,43.58
2017-3-21 5:00 PM,39.92
2017-3-21 6:00 PM,35.86
