Time,Failure_5
2017-2-20 6:00 PM,43.79
2017-2-20 7:00 PM,46.90
2017-2-20 8:00 PM,43.30
2017-2-20 9:00 PM,44.77
2017-2-20 10:00 PM,27.71
2017-2-20 11:00 PM,24.64
2017-2-21 12:00 AM,36.38
2017-2-21 1:00 AM,39.96
2017-2-21 2:00 AM,44.66
2017-2-21 3:00 AM,39.02
2017-2-21 4:00 AM,42.30
2017-2-21 5:00 AM,35.19
2017-2-21 6:00 AM,35.14
2017-2-21 7:00 AM,37.18
2017-2-21 8:00 AM,40.89
2017-2-21 9:00 AM,41.32
2017-2-21 10:00 AM,42.75
2017-2-21 11:00 AM,43.84
2017-2-21 12:00 PM,45.01
2017-2-21 1:00 PM,44.66
2017-2-21 2:00 PM,48.69
2017-2-21 3:00 PM,49.63
2017-2-21 4:00 PM,49.05
2017-2-21 5:00 PM,51.75
2017-2-21 6:00 PM,51.97
2017-2-21 7:00 PM,51.98
2017-2-21 8:00 PM,52.90
2017-2-21 9:00 PM,53.04
2017-2-21 10:00 PM,18.83
2017-2-21 11:00 PM,13.21
2017-2-22 12:00 AM,15.00
2017-2-22 1:00 AM,15.10
2017-2-22 2:00 AM,13.70
2017-2-22 3:00 AM,15.64
2017-2-22 4:00 AM,14.79
2017-2-22 5:00 AM,15.56
2017-2-22 6:00 AM,16.72
2017-2-22 7:00 AM,14.49
2017-2-22 8:00 AM,14.75
2017-2-22 9:00 AM,17.38
2017-2-22 10:00 AM,16.84
2017-2-22 11:00 AM,18.65
2017-2-22 12:00 PM,17.82
2017-2-22 1:00 PM,18.69
2017-2-22 2:00 PM,19.43
2017-2-22 3:00 PM,19.79
2017-2-22 4:00 PM,21.02
2017-2-22 5:00 PM,20.14
2017-2-22 6:00 PM,26.02
2017-2-22 7:00 PM,25.83
2017-2-22 8:00 PM,27.12
2017-2-22 9:00 PM,26.47
2017-2-22 10:00 PM,27.90
2017-2-22 11:00 PM,27.45
2017-2-23 12:00 AM,27.06
2017-2-23 1:00 AM,27.05
2017-2-23 2:00 AM,22.04
2017-2-23 3:00 AM,22.05
2017-2-23 4:00 AM,25.75
2017-2-23 5:00 AM,25.26
2017-2-23 6:00 AM,27.41
2017-2-23 7:00 AM,26.08
2017-2-23 8:00 AM,27.44
2017-2-23 9:00 AM,29.31
2017-2-23 10:00 AM,28.20
2017-2-23 11:00 AM,28.27
2017-2-23 12:00 PM,30.51
2017-2-23 1:00 PM,28.80
2017-2-23 2:00 PM,30.76
2017-2-23 3:00 PM,27.73
2017-2-23 4:00 PM,27.09
2017-2-23 5:00 PM,27.86
2017-2-23 6:00 PM,25.16
2017-2-23 7:00 PM,26.87
2017-2-23 8:00 PM,25.42
2017-2-23 9:00 PM,27.09
2017-2-23 10:00 PM,24.42
2017-2-23 11:00 PM,26.04
2017-2-24 12:00 AM,26.02
2017-2-24 1:00 AM,26.13
2017-2-24 2:00 AM,26.38
2017-2-24 3:00 AM,25.16
2017-2-24 4:00 AM,26.49
2017-2-24 5:00 AM,26.96
2017-2-24 6:00 AM,24.83
2017-2-24 7:00 AM,24.02
2017-2-24 8:00 AM,24.53
2017-2-24 9:00 AM,26.23
2017-2-24 10:00 AM,26.29
2017-2-24 11:00 AM,25.95
2017-2-24 12:00 PM,24.77
2017-2-24 1:00 PM,27.28
2017-2-24 2:00 PM,26.23
2017-2-24 3:00 PM,24.21
2017-2-24 4:00 PM,25.76
2017-2-24 5:00 PM,25.53
2017-2-24 6:00 PM,25.00
2017-2-24 7:00 PM,24.07
2017-2-24 8:00 PM,30.62
2017-2-24 9:00 PM,30.87
2017-2-24 10:00 PM,31.73
2017-2-24 11:00 PM,30.41
2017-2-25 12:00 AM,29.01
2017-2-25 1:00 AM,28.99
2017-2-25 2:00 AM,30.06
2017-2-25 3:00 AM,30.59
2017-2-25 4:00 AM,30.21
2017-2-25 5:00 AM,31.67
2017-2-25 6:00 AM,40.96
2017-2-25 7:00 AM,38.44
2017-2-25 8:00 AM,36.60
2017-2-25 9:00 AM,35.75
2017-2-25 10:00 AM,37.33
2017-2-25 11:00 AM,37.29
2017-2-25 12:00 PM,38.68
2017-2-25 1:00 PM,40.34
2017-2-25 2:00 PM,41.10
2017-2-25 3:00 PM,28.51
2017-2-25 4:00 PM,25.74
2017-2-25 5:00 PM,28.43
2017-2-25 6:00 PM,34.02
2017-2-25 7:00 PM,43.22
2017-2-25 8:00 PM,37.03
2017-2-25 9:00 PM,45.99
2017-2-25 10:00 PM,43.37
2017-2-25 11:00 PM,32.72
2017-2-26 12:00 AM,46.41
2017-2-26 1:00 AM,52.68
2017-2-26 2:00 AM,43.19
2017-2-26 3:00 AM,36.96
2017-2-26 4:00 AM,40.24
2017-2-26 5:00 AM,45.94
2017-2-26 6:00 AM,47.53
2017-2-26 7:00 AM,52.06
2017-2-26 8:00 AM,51.93
2017-2-26 9:00 AM,54.17
2017-2-26 10:00 AM,52.64
2017-2-26 11:00 AM,55.47
2017-2-26 12:00 PM,59.46
2017-2-26 1:00 PM,59.47
2017-2-26 2:00 PM,62.83
2017-2-26 3:00 PM,67.77
2017-2-26 4:00 PM,62.45
2017-2-26 5:00 PM,50.43
2017-2-26 6:00 PM,18.67
2017-2-26 7:00 PM,19.12
2017-2-26 8:00 PM,18.31
2017-2-26 9:00 PM,20.33
2017-2-26 10:00 PM,24.25
2017-2-26 11:00 PM,27.95
2017-2-27 12:00 AM,29.16
2017-2-27 1:00 AM,30.99
2017-2-27 2:00 AM,30.00
2017-2-27 3:00 AM,30.65
2017-2-27 4:00 AM,26.42
2017-2-27 5:00 AM,28.96
2017-2-27 6:00 AM,33.51
2017-2-27 7:00 AM,33.27
2017-2-27 8:00 AM,35.09
2017-2-27 9:00 AM,37.33
2017-2-27 10:00 AM,41.06
2017-2-27 11:00 AM,40.34
2017-2-27 12:00 PM,42.94
2017-2-27 1:00 PM,43.60
2017-2-27 2:00 PM,46.31
2017-2-27 3:00 PM,49.50
2017-2-27 4:00 PM,51.27
2017-2-27 5:00 PM,32.17
2017-2-27 6:00 PM,33.05
2017-2-27 7:00 PM,33.13
2017-2-27 8:00 PM,34.18
2017-2-27 9:00 PM,35.58
2017-2-27 10:00 PM,33.48
2017-2-27 11:00 PM,36.76
