Time,Failure_7
2017-03-17 4:00,32.09
2017-03-17 5:00,31.86
2017-03-17 6:00,30.87
2017-03-17 7:00,32.42
2017-03-17 8:00,35.92
2017-03-17 9:00,36.65
2017-03-17 10:00,38.05
2017-03-17 11:00,42.49
2017-03-17 12:00,42.62
2017-03-17 13:00,45.65
2017-03-17 14:00,44.64
2017-03-17 15:00,44.65
2017-03-17 16:00,45.34
2017-03-17 17:00,47.92
2017-03-17 18:00,48.82
2017-03-17 19:00,45.85
2017-03-17 20:00,45.98
2017-03-17 21:00,43.65
2017-03-17 22:00,38.64
2017-03-17 23:00,42.97
2017-03-18 0:00,44.25
2017-03-18 1:00,41.84
2017-03-18 2:00,43.02
2017-03-18 3:00,44.35
2017-03-18 4:00,48.06
2017-03-18 5:00,48.08
2017-03-18 6:00,50.92
2017-03-18 7:00,49.93
2017-03-18 8:00,53.38
2017-03-18 9:00,52.91
2017-03-18 10:00,52.45
2017-03-18 11:00,52.83
2017-03-18 12:00,52.69
2017-03-18 13:00,52.56
2017-03-18 14:00,56.96
2017-03-18 15:00,55.6
2017-03-18 16:00,55.69
2017-03-18 17:00,50.72
2017-03-18 18:00,46.9
2017-03-18 19:00,47.28
2017-03-18 20:00,48.89
2017-03-18 21:00,47.04
2017-03-18 22:00,46.71
2017-03-18 23:00,46.03
2017-03-19 0:00,47.29
2017-03-19 1:00,45.65
2017-03-19 2:00,43.76
2017-03-19 3:00,43.76
2017-03-19 4:00,45.34
2017-03-19 5:00,39.28
2017-03-19 6:00,27.64
2017-03-19 7:00,29.15
2017-03-19 8:00,29.94
2017-03-19 9:00,30.59
2017-03-19 10:00,31.77
2017-03-19 11:00,25.82
2017-03-19 12:00,26.1
2017-03-19 13:00,28.03
2017-03-19 14:00,26.72
2017-03-19 15:00,29.02
2017-03-19 16:00,30.39
2017-03-19 17:00,34.42
2017-03-19 18:00,36.82
2017-03-19 19:00,31.53
2017-03-19 20:00,32.9
2017-03-19 21:00,31.53
2017-03-19 22:00,32.26
2017-03-19 23:00,35.41
2017-03-20 0:00,34.92
2017-03-20 1:00,37.97
2017-03-20 2:00,37.85
2017-03-20 3:00,41.79
2017-03-20 4:00,40.8
2017-03-20 5:00,23.61
2017-03-20 6:00,25.41
2017-03-20 7:00,27.41
2017-03-20 8:00,30.53
2017-03-20 9:00,30.21
2017-03-20 10:00,32.91
2017-03-20 11:00,27.19
2017-03-20 12:00,25.53
2017-03-20 13:00,25.02
2017-03-20 14:00,26.95
2017-03-20 15:00,25.99
2017-03-20 16:00,26.02
2017-03-20 17:00,25.72
2017-03-20 18:00,25.06
2017-03-20 19:00,27.77
2017-03-20 20:00,29.33
2017-03-20 21:00,28.47
2017-03-20 22:00,33.43
2017-03-20 23:00,32.72
2017-03-21 0:00,36.56
2017-03-21 1:00,35.55
2017-03-21 2:00,36.97
2017-03-21 3:00,38.16
2017-03-21 4:00,37.66
2017-03-21 5:00,39.71
2017-03-21 6:00,42.34
2017-03-21 7:00,34.8
2017-03-21 8:00,28.59
2017-03-21 9:00,29.81
2017-03-21 10:00,24.58
2017-03-21 11:00,26.77
2017-03-21 12:00,31.84
2017-03-21 13:00,33.79
2017-03-21 14:00,26.2
2017-03-21 15:00,28
2017-03-21 16:00,27.91
2017-03-21 17:00,29.53
2017-03-21 18:00,31.83
2017-03-21 19:00,34.93
2017-03-21 20:00,37.13
2017-03-21 21:00,36.06
2017-03-21 22:00,34.62
2017-03-21 23:00,36.12
2017-03-22 0:00,36.24
2017-03-22 1:00,30.46
2017-03-22 2:00,29.75
2017-03-22 3:00,27.59
2017-03-22 4:00,28.31
2017-03-22 5:00,30.83
2017-03-22 6:00,32.1
2017-03-22 7:00,32.52
2017-03-22 8:00,27.81
2017-03-22 9:00,26.54
2017-03-22 10:00,27.84
2017-03-22 11:00,25.96
2017-03-22 12:00,21.59
2017-03-22 13:00,22.36
2017-03-22 14:00,23.37
2017-03-22 15:00,24.54
2017-03-22 16:00,23.78
2017-03-22 17:00,25.73
2017-03-22 18:00,27.74
2017-03-22 19:00,26.83
2017-03-22 20:00,27.12
2017-03-22 21:00,28.34
2017-03-22 22:00,28.45
2017-03-22 23:00,27.79
2017-03-23 0:00,31.4
2017-03-23 1:00,30.28
2017-03-23 2:00,29.3
2017-03-23 3:00,31
2017-03-23 4:00,32.45
2017-03-23 5:00,31.39
2017-03-23 6:00,31.07
2017-03-23 7:00,31.99
2017-03-23 8:00,32.54
2017-03-23 9:00,35.62
2017-03-23 10:00,37.3
2017-03-23 11:00,32.67
2017-03-23 12:00,24.45
2017-03-23 13:00,27.61
2017-03-23 14:00,28.73
2017-03-23 15:00,26.82
2017-03-23 16:00,28.53
2017-03-23 17:00,28.22
2017-03-23 18:00,30.38
2017-03-23 19:00,32.33
2017-03-23 20:00,29.56
2017-03-23 21:00,31.5
2017-03-23 22:00,31.32
2017-03-23 23:00,32.55
2017-03-24 0:00,32.55
2017-03-24 1:00,32.28
2017-03-24 2:00,33.27
2017-03-24 3:00,21.1
2017-03-24 4:00,18.31
2017-03-24 5:00,19.5
2017-03-24 6:00,19.71
2017-03-24 7:00,21.2
2017-03-24 8:00,20.73
2017-03-24 9:00,23.99
2017-03-24 10:00,24.19
2017-03-24 11:00,24.06
2017-03-24 12:00,24.59
2017-03-24 13:00,25.8
2017-03-24 14:00,23.77
2017-03-24 15:00,24.01
2017-03-24 16:00,26.54
2017-03-24 17:00,26.53
2017-03-24 18:00,27.92
2017-03-24 19:00,23.48
2017-03-24 20:00,22.82
2017-03-24 21:00,25.52
2017-03-24 22:00,26.82
2017-03-24 23:00,27.7
2017-03-25 0:00,28.28
2017-03-25 1:00,28.53
2017-03-25 2:00,28.68
2017-03-25 3:00,29.68
2017-03-25 4:00,33.58
2017-03-25 5:00,34.26
2017-03-25 6:00,32.72
2017-03-25 7:00,34.54
2017-03-25 8:00,35.71
2017-03-25 9:00,36.65
2017-03-25 10:00,37.87
2017-03-25 11:00,39.38
2017-03-25 12:00,42.68
2017-03-25 13:00,33.26
2017-03-25 14:00,30.23
2017-03-25 15:00,28.6
2017-03-25 16:00,29.73
2017-03-25 17:00,34.07
2017-03-25 18:00,33.18
2017-03-25 19:00,35.95
2017-03-25 20:00,34.57
2017-03-25 21:00,38.31
2017-03-25 22:00,39.01
2017-03-25 23:00,36.19
2017-03-26 0:00,23.16
2017-03-26 1:00,23.14
2017-03-26 2:00,22.43
2017-03-26 3:00,24.25
2017-03-26 4:00,25.18
2017-03-26 5:00,25.71
2017-03-26 6:00,25.81
2017-03-26 7:00,29.62
2017-03-26 8:00,35.6
2017-03-26 9:00,36.55
2017-03-26 10:00,37.17
2017-03-26 11:00,40.31
2017-03-26 12:00,42.25
2017-03-26 13:00,43.96
2017-03-26 14:00,42.55
2017-03-26 15:00,45.17
2017-03-26 16:00,46.97
2017-03-26 17:00,46.4
2017-03-26 18:00,50.67
2017-03-26 19:00,51.52
2017-03-26 20:00,53.23
2017-03-26 21:00,54.51
2017-03-26 22:00,55.81
2017-03-26 23:00,54.96
2017-03-27 0:00,57.92
2017-03-27 1:00,58.25
2017-03-27 2:00,58.09
2017-03-27 3:00,57.61
2017-03-27 4:00,60.85
2017-03-27 5:00,60.07
2017-03-27 6:00,59.07
2017-03-27 7:00,62.11
2017-03-27 8:00,62.85
2017-03-27 9:00,61.27
2017-03-27 10:00,54.97
2017-03-27 11:00,56.75
2017-03-27 12:00,57.38
2017-03-27 13:00,58.34
2017-03-27 14:00,58.15
2017-03-27 15:00,59.84
2017-03-27 16:00,61.00
2017-03-27 17:00,60.30
2017-03-27 18:00,62.77
2017-03-27 19:00,62.41
2017-03-27 20:00,62.36
2017-03-27 21:00,60.59
2017-03-27 22:00,60.89
2017-03-27 23:00,61.77
2017-03-28 0:00,60.31
2017-03-28 1:00,63.38
2017-03-28 2:00,62.27
2017-03-28 3:00,60.34
2017-03-28 4:00,63.42
2017-03-28 5:00,63.38
2017-03-28 6:00,60.94
2017-03-28 7:00,60.35
2017-03-28 8:00,62.53
2017-03-28 9:00,64.64
2017-03-28 10:00,62.20
2017-03-28 11:00,63.94
2017-03-28 12:00,64.46
2017-03-28 13:00,64.38
2017-03-28 14:00,64.02
2017-03-28 15:00,63.46
