Time,Failure_2
2017-01-13 22:00,32.69
2017-01-13 23:00,30.62
2017-01-14 0:00,33.2
2017-01-14 1:00,33.67
2017-01-14 2:00,35.07
2017-01-14 3:00,35.4
2017-01-14 4:00,37.92
2017-01-14 5:00,39.38
2017-01-14 6:00,43.92
2017-01-14 7:00,43.35
2017-01-14 8:00,43.92
2017-01-14 9:00,46.08
2017-01-14 10:00,47.12
2017-01-14 11:00,48.85
2017-01-14 12:00,47.93
2017-01-14 13:00,44.59
2017-01-14 14:00,47.12
2017-01-14 15:00,41.21
2017-01-14 16:00,39.69
2017-01-14 17:00,41.14
2017-01-14 18:00,44.67
2017-01-14 19:00,43.14
2017-01-14 20:00,43.67
2017-01-14 21:00,45
2017-01-14 22:00,46.92
2017-01-14 23:00,46.12
2017-01-15 0:00,48.4
2017-01-15 1:00,51.71
2017-01-15 2:00,51.1
2017-01-15 3:00,51.2
2017-01-15 4:00,50.23
2017-01-15 5:00,49.58
2017-01-15 6:00,54.19
2017-01-15 7:00,54.46
2017-01-15 8:00,55.43
2017-01-15 9:00,54.74
2017-01-15 10:00,55.59
2017-01-15 11:00,50.2
2017-01-15 12:00,46.41
2017-01-15 13:00,45.83
2017-01-15 14:00,47.84
2017-01-15 15:00,46.58
2017-01-15 16:00,44.76
2017-01-15 17:00,47.42
2017-01-15 18:00,45.93
2017-01-15 19:00,45.36
2017-01-15 20:00,44.52
2017-01-15 21:00,44
2017-01-15 22:00,44.47
2017-01-15 23:00,37.16
2017-01-16 0:00,27.64
2017-01-16 1:00,29.43
2017-01-16 2:00,29.64
2017-01-16 3:00,31.18
2017-01-16 4:00,32.13
2017-01-16 5:00,25.62
2017-01-16 6:00,27
2017-01-16 7:00,25.71
2017-01-16 8:00,28.21
2017-01-16 9:00,30.09
2017-01-16 10:00,30.63
2017-01-16 11:00,33.76
2017-01-16 12:00,36.46
2017-01-16 13:00,31.92
2017-01-16 14:00,30.3
2017-01-16 15:00,30.99
2017-01-16 16:00,32.71
2017-01-16 17:00,33.91
2017-01-16 18:00,34.67
2017-01-16 19:00,36.89
