Time,Failure_6
2017-3-5 6:00 AM,45.96
2017-3-5 7:00 AM,44.24
2017-3-5 8:00 AM,43.65
2017-3-5 9:00 AM,46.18
2017-3-5 10:00 AM,27.77
2017-3-5 11:00 AM,26.73
2017-3-5 12:00 PM,37.72
2017-3-5 1:00 PM,38.24
2017-3-5 2:00 PM,44.15
2017-3-5 3:00 PM,38.50
2017-3-5 4:00 PM,42.79
2017-3-5 5:00 PM,33.19
2017-3-5 6:00 PM,35.63
2017-3-5 7:00 PM,36.72
2017-3-5 8:00 PM,41.06
2017-3-5 9:00 PM,39.86
2017-3-5 10:00 PM,42.00
2017-3-5 11:00 PM,43.44
2017-3-6 12:00 AM,45.27
2017-3-6 1:00 AM,45.39
2017-3-6 2:00 AM,47.70
2017-3-6 3:00 AM,49.81
2017-3-6 4:00 AM,51.39
2017-3-6 5:00 AM,52.18
2017-3-6 6:00 AM,51.43
2017-3-6 7:00 AM,50.48
2017-3-6 8:00 AM,53.29
2017-3-6 9:00 AM,53.78
2017-3-6 10:00 AM,20.41
2017-3-6 11:00 AM,11.98
2017-3-6 12:00 PM,14.07
2017-3-6 1:00 PM,13.59
2017-3-6 2:00 PM,15.23
2017-3-6 3:00 PM,16.10
2017-3-6 4:00 PM,15.56
2017-3-6 5:00 PM,16.61
2017-3-6 6:00 PM,16.22
2017-3-6 7:00 PM,16.12
2017-3-6 8:00 PM,16.94
2017-3-6 9:00 PM,16.17
2017-3-6 10:00 PM,16.67
2017-3-6 11:00 PM,19.42
2017-3-7 12:00 AM,17.82
2017-3-7 1:00 AM,18.95
2017-3-7 2:00 AM,19.50
2017-3-7 3:00 AM,19.01
2017-3-7 4:00 AM,22.62
2017-3-7 5:00 AM,21.10
2017-3-7 6:00 AM,25.15
2017-3-7 7:00 AM,24.55
2017-3-7 8:00 AM,25.68
2017-3-7 9:00 AM,25.28
2017-3-7 10:00 AM,26.88
2017-3-7 11:00 AM,27.41
2017-3-7 12:00 PM,27.73
2017-3-7 1:00 PM,25.16
2017-3-7 2:00 PM,20.96
2017-3-7 3:00 PM,22.29
2017-3-7 4:00 PM,26.31
2017-3-7 5:00 PM,27.46
2017-3-7 6:00 PM,27.92
2017-3-7 7:00 PM,26.48
2017-3-7 8:00 PM,29.00
2017-3-7 9:00 PM,29.98
2017-3-7 10:00 PM,30.80
2017-3-7 11:00 PM,27.59
2017-3-8 12:00 AM,30.78
2017-3-8 1:00 AM,29.10
2017-3-8 2:00 AM,28.61
2017-3-8 3:00 AM,26.35
2017-3-8 4:00 AM,27.69
2017-3-8 5:00 AM,26.63
2017-3-8 6:00 AM,27.06
2017-3-8 7:00 AM,25.16
2017-3-8 8:00 AM,24.20
2017-3-8 9:00 AM,25.00
2017-3-8 10:00 AM,27.09
2017-3-8 11:00 AM,25.10
2017-3-8 12:00 PM,27.30
2017-3-8 1:00 PM,24.11
2017-3-8 2:00 PM,26.54
2017-3-8 3:00 PM,27.37
2017-3-8 4:00 PM,25.14
2017-3-8 5:00 PM,24.56
2017-3-8 6:00 PM,24.34
2017-3-8 7:00 PM,25.47
2017-3-8 8:00 PM,27.39
2017-3-8 9:00 PM,26.91
2017-3-8 10:00 PM,24.67
2017-3-8 11:00 PM,25.81
2017-3-9 12:00 AM,24.14
2017-3-9 1:00 AM,26.88
2017-3-9 2:00 AM,26.01
2017-3-9 3:00 AM,24.61
2017-3-9 4:00 AM,24.43
2017-3-9 5:00 AM,25.71
2017-3-9 6:00 AM,25.80
2017-3-9 7:00 AM,24.59
2017-3-9 8:00 AM,30.37
2017-3-9 9:00 AM,31.29
2017-3-9 10:00 AM,33.14
2017-3-9 11:00 AM,32.03
2017-3-9 12:00 PM,30.91
2017-3-9 1:00 PM,31.24
2017-3-9 2:00 PM,30.34
2017-3-9 3:00 PM,30.55
2017-3-9 4:00 PM,30.69
2017-3-9 5:00 PM,32.52
2017-3-9 6:00 PM,43.40
2017-3-9 7:00 PM,37.35
2017-3-9 8:00 PM,35.97
2017-3-9 9:00 PM,34.85
2017-3-9 10:00 PM,34.69
2017-3-9 11:00 PM,38.85
2017-3-10 12:00 AM,38.70
2017-3-10 1:00 AM,41.12
2017-3-10 2:00 AM,41.67
2017-3-10 3:00 AM,29.96
2017-3-10 4:00 AM,26.19
2017-3-10 5:00 AM,31.13
2017-3-10 6:00 AM,33.83
2017-3-10 7:00 AM,42.27
2017-3-10 8:00 AM,37.39
2017-3-10 9:00 AM,48.82
2017-3-10 10:00 AM,41.21
2017-3-10 11:00 AM,35.77
2017-3-10 12:00 PM,46.63
2017-3-10 1:00 PM,51.29
2017-3-10 2:00 PM,42.08
2017-3-10 3:00 PM,38.23
2017-3-10 4:00 PM,40.56
2017-3-10 5:00 PM,46.13
2017-3-10 6:00 PM,46.17
2017-3-10 7:00 PM,52.72
2017-3-10 8:00 PM,54.81
2017-3-10 9:00 PM,52.72
2017-3-10 10:00 PM,51.62
2017-3-10 11:00 PM,56.00
2017-3-11 12:00 AM,60.31
2017-3-11 1:00 AM,62.11
2017-3-11 2:00 AM,61.88
2017-3-11 3:00 AM,64.89
2017-3-11 4:00 AM,62.57
2017-3-11 5:00 AM,49.44
2017-3-11 6:00 AM,18.51
2017-3-11 7:00 AM,16.68
2017-3-11 8:00 AM,17.69
2017-3-11 9:00 AM,20.16
2017-3-11 10:00 AM,26.68
2017-3-11 11:00 AM,28.34
2017-3-11 12:00 PM,29.17
2017-3-11 1:00 PM,30.40
2017-3-11 2:00 PM,31.70
2017-3-11 3:00 PM,29.94
2017-3-11 4:00 PM,28.72
2017-3-11 5:00 PM,30.65
2017-3-11 6:00 PM,31.96
2017-3-11 7:00 PM,36.13
2017-3-11 8:00 PM,35.68
2017-3-11 9:00 PM,38.60
2017-3-11 10:00 PM,40.40
2017-3-11 11:00 PM,41.16
2017-3-12 12:00 AM,43.84
2017-3-12 1:00 AM,46.44
