Time,Failure_7
2017-3-17 4:00 AM,47.96
2017-3-17 5:00 AM,48.74
2017-3-17 6:00 AM,46.89
2017-3-17 7:00 AM,18.93
2017-3-17 8:00 AM,21.57
2017-3-17 9:00 AM,19.62
2017-3-17 10:00 AM,21.21
2017-3-17 11:00 AM,28.57
2017-3-17 12:00 PM,33.36
2017-3-17 1:00 PM,34.46
2017-3-17 2:00 PM,35.32
2017-3-17 3:00 PM,33.51
2017-3-17 4:00 PM,35.76
2017-3-17 5:00 PM,34.13
2017-3-17 6:00 PM,37.07
2017-3-17 7:00 PM,28.87
2017-3-17 8:00 PM,28.49
2017-3-17 9:00 PM,25.96
2017-3-17 10:00 PM,29.52
2017-3-17 11:00 PM,29.01
2017-3-18 12:00 AM,28.71
2017-3-18 1:00 AM,28.34
2017-3-18 2:00 AM,27.79
2017-3-18 3:00 AM,30.30
2017-3-18 4:00 AM,29.73
2017-3-18 5:00 AM,30.79
2017-3-18 6:00 AM,30.44
2017-3-18 7:00 AM,31.21
2017-3-18 8:00 AM,29.05
2017-3-18 9:00 AM,29.75
2017-3-18 10:00 AM,31.59
2017-3-18 11:00 AM,31.01
2017-3-18 12:00 PM,31.86
2017-3-18 1:00 PM,28.57
2017-3-18 2:00 PM,31.72
2017-3-18 3:00 PM,32.13
2017-3-18 4:00 PM,29.66
2017-3-18 5:00 PM,32.48
2017-3-18 6:00 PM,30.47
2017-3-18 7:00 PM,32.75
2017-3-18 8:00 PM,32.79
2017-3-18 9:00 PM,34.67
2017-3-18 10:00 PM,34.07
2017-3-18 11:00 PM,32.09
2017-3-19 12:00 AM,32.52
2017-3-19 1:00 AM,34.86
2017-3-19 2:00 AM,32.74
2017-3-19 3:00 AM,35.19
2017-3-19 4:00 AM,33.62
2017-3-19 5:00 AM,35.96
2017-3-19 6:00 AM,34.01
2017-3-19 7:00 AM,34.95
2017-3-19 8:00 AM,36.93
2017-3-19 9:00 AM,37.78
2017-3-19 10:00 AM,34.82
2017-3-19 11:00 AM,37.14
2017-3-19 12:00 PM,34.89
2017-3-19 1:00 PM,39.58
2017-3-19 2:00 PM,44.52
2017-3-19 3:00 PM,44.20
2017-3-19 4:00 PM,43.84
2017-3-19 5:00 PM,43.11
2017-3-19 6:00 PM,44.85
2017-3-19 7:00 PM,30.75
2017-3-19 8:00 PM,25.22
2017-3-19 9:00 PM,30.20
2017-3-19 10:00 PM,31.69
2017-3-19 11:00 PM,30.82
2017-3-20 12:00 AM,32.55
2017-3-20 1:00 AM,34.76
2017-3-20 2:00 AM,32.27
2017-3-20 3:00 AM,33.95
2017-3-20 4:00 AM,33.97
2017-3-20 5:00 AM,36.54
2017-3-20 6:00 AM,38.76
2017-3-20 7:00 AM,40.50
2017-3-20 8:00 AM,39.87
2017-3-20 9:00 AM,40.93
2017-3-20 10:00 AM,41.29
2017-3-20 11:00 AM,44.12
2017-3-20 12:00 PM,43.93
2017-3-20 1:00 PM,45.72
2017-3-20 2:00 PM,45.06
2017-3-20 3:00 PM,45.65
2017-3-20 4:00 PM,47.40
2017-3-20 5:00 PM,45.60
2017-3-20 6:00 PM,48.56
2017-3-20 7:00 PM,28.99
2017-3-20 8:00 PM,18.49
2017-3-20 9:00 PM,20.82
2017-3-20 10:00 PM,21.16
2017-3-20 11:00 PM,18.86
2017-3-21 12:00 AM,20.15
2017-3-21 1:00 AM,20.34
2017-3-21 2:00 AM,22.38
2017-3-21 3:00 AM,22.29
2017-3-21 4:00 AM,20.75
2017-3-21 5:00 AM,21.80
2017-3-21 6:00 AM,23.48
2017-3-21 7:00 AM,21.39
2017-3-21 8:00 AM,21.55
