Time,Failure_8
2017-3-29 1:00 PM,46.33
2017-3-29 2:00 PM,44.94
2017-3-29 3:00 PM,44.21
2017-3-29 4:00 PM,45.43
2017-3-29 5:00 PM,26.00
2017-3-29 6:00 PM,26.59
2017-3-29 7:00 PM,36.72
2017-3-29 8:00 PM,38.52
2017-3-29 9:00 PM,44.76
2017-3-29 10:00 PM,37.64
2017-3-29 11:00 PM,42.93
2017-3-30 12:00 AM,33.93
2017-3-30 1:00 AM,36.54
2017-3-30 2:00 AM,38.26
2017-3-30 3:00 AM,41.04
2017-3-30 4:00 AM,41.88
2017-3-30 5:00 AM,42.87
2017-3-30 6:00 AM,44.04
2017-3-30 7:00 AM,45.34
2017-3-30 8:00 AM,47.86
2017-3-30 9:00 AM,48.31
2017-3-30 10:00 AM,47.50
2017-3-30 11:00 AM,49.71
2017-3-30 12:00 PM,52.48
2017-3-30 1:00 PM,51.21
2017-3-30 2:00 PM,50.41
2017-3-30 3:00 PM,54.59
2017-3-30 4:00 PM,53.81
2017-3-30 5:00 PM,18.39
2017-3-30 6:00 PM,12.85
2017-3-30 7:00 PM,14.43
2017-3-30 8:00 PM,14.65
2017-3-30 9:00 PM,13.90
2017-3-30 10:00 PM,16.28
2017-3-30 11:00 PM,16.52
2017-3-31 12:00 AM,16.98
2017-3-31 1:00 AM,16.44
2017-3-31 2:00 AM,14.46
2017-3-31 3:00 AM,14.81
2017-3-31 4:00 AM,18.26
2017-3-31 5:00 AM,18.55
2017-3-31 6:00 AM,20.38
2017-3-31 7:00 AM,18.48
2017-3-31 8:00 AM,20.06
2017-3-31 9:00 AM,20.04
2017-3-31 10:00 AM,22.23
2017-3-31 11:00 AM,23.02
2017-3-31 12:00 PM,21.72
2017-3-31 1:00 PM,23.70
2017-3-31 2:00 PM,25.95
2017-3-31 3:00 PM,24.34
2017-3-31 4:00 PM,25.36
2017-3-31 5:00 PM,27.55
2017-3-31 6:00 PM,27.24
2017-3-31 7:00 PM,26.24
2017-3-31 8:00 PM,28.09
2017-3-31 9:00 PM,23.13
2017-3-31 10:00 PM,24.13
2017-3-31 11:00 PM,26.43
2017-4-1 12:00 AM,25.79
2017-4-1 1:00 AM,26.56
2017-4-1 2:00 AM,27.81
2017-4-1 3:00 AM,29.47
2017-4-1 4:00 AM,30.33
2017-4-1 5:00 AM,28.65
2017-4-1 6:00 AM,29.73
2017-4-1 7:00 AM,30.65
2017-4-1 8:00 AM,31.01
2017-4-1 9:00 AM,29.34
2017-4-1 10:00 AM,28.77
2017-4-1 11:00 AM,26.99
2017-4-1 12:00 PM,26.99
2017-4-1 1:00 PM,28.23
2017-4-1 2:00 PM,26.31
2017-4-1 3:00 PM,27.48
2017-4-1 4:00 PM,26.82
2017-4-1 5:00 PM,24.84
2017-4-1 6:00 PM,26.85
2017-4-1 7:00 PM,25.93
2017-4-1 8:00 PM,27.43
2017-4-1 9:00 PM,24.43
2017-4-1 10:00 PM,24.66
2017-4-1 11:00 PM,24.09
2017-4-2 12:00 AM,27.45
2017-4-2 1:00 AM,26.40
