Time,Failure_4
2017-2-8 3:00 PM,49.08
2017-2-8 4:00 PM,48.05
2017-2-8 5:00 PM,47.44
2017-2-8 6:00 PM,19.08
2017-2-8 7:00 PM,20.18
2017-2-8 8:00 PM,20.12
2017-2-8 9:00 PM,22.95
2017-2-8 10:00 PM,25.76
2017-2-8 11:00 PM,34.19
2017-2-9 12:00 AM,32.90
2017-2-9 1:00 AM,34.51
2017-2-9 2:00 AM,33.84
2017-2-9 3:00 AM,32.97
2017-2-9 4:00 AM,34.78
2017-2-9 5:00 AM,33.97
2017-2-9 6:00 AM,29.36
2017-2-9 7:00 AM,25.59
2017-2-9 8:00 AM,27.83
2017-2-9 9:00 AM,27.45
2017-2-9 10:00 AM,29.27
2017-2-9 11:00 AM,27.45
2017-2-9 12:00 PM,28.02
2017-2-9 1:00 PM,29.82
2017-2-9 2:00 PM,30.09
2017-2-9 3:00 PM,28.94
2017-2-9 4:00 PM,29.20
2017-2-9 5:00 PM,32.34
2017-2-9 6:00 PM,31.64
2017-2-9 7:00 PM,29.35
2017-2-9 8:00 PM,30.78
2017-2-9 9:00 PM,31.31
2017-2-9 10:00 PM,31.19
2017-2-9 11:00 PM,29.21
2017-2-10 12:00 AM,31.68
2017-2-10 1:00 AM,30.82
2017-2-10 2:00 AM,29.53
2017-2-10 3:00 AM,31.91
2017-2-10 4:00 AM,31.51
2017-2-10 5:00 AM,32.26
2017-2-10 6:00 AM,33.52
2017-2-10 7:00 AM,33.72
2017-2-10 8:00 AM,31.86
2017-2-10 9:00 AM,31.50
2017-2-10 10:00 AM,33.81
2017-2-10 11:00 AM,35.04
2017-2-10 12:00 PM,34.70
2017-2-10 1:00 PM,33.31
2017-2-10 2:00 PM,35.76
2017-2-10 3:00 PM,34.79
2017-2-10 4:00 PM,34.43
2017-2-10 5:00 PM,33.63
2017-2-10 6:00 PM,36.15
2017-2-10 7:00 PM,36.35
2017-2-10 8:00 PM,35.89
2017-2-10 9:00 PM,36.45
2017-2-10 10:00 PM,37.15
2017-2-10 11:00 PM,34.58
2017-2-11 12:00 AM,39.27
2017-2-11 1:00 AM,44.47
2017-2-11 2:00 AM,43.29
2017-2-11 3:00 AM,45.18
2017-2-11 4:00 AM,43.94
2017-2-11 5:00 AM,44.17
2017-2-11 6:00 AM,31.05
2017-2-11 7:00 AM,22.66
2017-2-11 8:00 AM,30.61
2017-2-11 9:00 AM,29.23
2017-2-11 10:00 AM,31.13
2017-2-11 11:00 AM,30.80
2017-2-11 12:00 PM,33.48
2017-2-11 1:00 PM,31.63
2017-2-11 2:00 PM,34.66
2017-2-11 3:00 PM,35.36
2017-2-11 4:00 PM,36.14
2017-2-11 5:00 PM,37.79
2017-2-11 6:00 PM,38.40
2017-2-11 7:00 PM,39.74
2017-2-11 8:00 PM,40.50
2017-2-11 9:00 PM,42.79
2017-2-11 10:00 PM,41.52
2017-2-11 11:00 PM,45.14
2017-2-12 12:00 AM,43.73
2017-2-12 1:00 AM,45.12
2017-2-12 2:00 AM,47.41
2017-2-12 3:00 AM,46.05
2017-2-12 4:00 AM,46.57
2017-2-12 5:00 AM,47.74
2017-2-12 6:00 AM,28.11
2017-2-12 7:00 AM,18.03
2017-2-12 8:00 AM,20.30
2017-2-12 9:00 AM,20.88
2017-2-12 10:00 AM,21.04
2017-2-12 11:00 AM,21.31
2017-2-12 12:00 PM,20.26
2017-2-12 1:00 PM,20.58
2017-2-12 2:00 PM,21.97
2017-2-12 3:00 PM,20.76
2017-2-12 4:00 PM,21.18
2017-2-12 5:00 PM,21.22
2017-2-12 6:00 PM,21.90
2017-2-12 7:00 PM,22.90
2017-2-12 8:00 PM,24.49
2017-2-12 9:00 PM,24.68
2017-2-12 10:00 PM,22.58
2017-2-12 11:00 PM,24.22
2017-2-13 12:00 AM,24.11
2017-2-13 1:00 AM,26.28
2017-2-13 2:00 AM,34.37
2017-2-13 3:00 AM,43.61
2017-2-13 4:00 AM,43.22
2017-2-13 5:00 AM,33.91
2017-2-13 6:00 AM,36.70
2017-2-13 7:00 AM,39.75
2017-2-13 8:00 AM,38.09
2017-2-13 9:00 AM,36.09
2017-2-13 10:00 AM,32.82
2017-2-13 11:00 AM,32.26
2017-2-13 12:00 PM,32.25
2017-2-13 1:00 PM,32.91
2017-2-13 2:00 PM,34.92
2017-2-13 3:00 PM,37.76
2017-2-13 4:00 PM,37.38
2017-2-13 5:00 PM,37.80
2017-2-13 6:00 PM,35.05
2017-2-13 7:00 PM,36.44
2017-2-13 8:00 PM,36.60
2017-2-13 9:00 PM,39.74
2017-2-13 10:00 PM,41.19
2017-2-13 11:00 PM,41.23
2017-2-14 12:00 AM,40.38
2017-2-14 1:00 AM,42.97
2017-2-14 2:00 AM,43.43
2017-2-14 3:00 AM,42.92
2017-2-14 4:00 AM,43.52
2017-2-14 5:00 AM,25.38
2017-2-14 6:00 AM,22.42
2017-2-14 7:00 AM,25.67
2017-2-14 8:00 AM,27.16
2017-2-14 9:00 AM,28.29
2017-2-14 10:00 AM,29.12
2017-2-14 11:00 AM,27.89
2017-2-14 12:00 PM,30.81
2017-2-14 1:00 PM,29.07
2017-2-14 2:00 PM,26.02
2017-2-14 3:00 PM,24.78
2017-2-14 4:00 PM,25.19
2017-2-14 5:00 PM,27.88
2017-2-14 6:00 PM,27.05
2017-2-14 7:00 PM,24.79
2017-2-14 8:00 PM,27.94
2017-2-14 9:00 PM,29.42
2017-2-14 10:00 PM,29.37
2017-2-14 11:00 PM,24.72
2017-2-15 12:00 AM,22.74
2017-2-15 1:00 AM,25.28
2017-2-15 2:00 AM,26.03
2017-2-15 3:00 AM,28.70
2017-2-15 4:00 AM,30.06
2017-2-15 5:00 AM,31.29
2017-2-15 6:00 AM,30.27
2017-2-15 7:00 AM,32.70
2017-2-15 8:00 AM,33.71
2017-2-15 9:00 AM,35.75
2017-2-15 10:00 AM,38.23
2017-2-15 11:00 AM,39.58
2017-2-15 12:00 PM,41.56
2017-2-15 1:00 PM,43.93
2017-2-15 2:00 PM,44.75
2017-2-15 3:00 PM,46.88
2017-2-15 4:00 PM,46.80
2017-2-15 5:00 PM,46.78
2017-2-15 6:00 PM,46.44
2017-2-15 7:00 PM,46.20
2017-2-15 8:00 PM,35.86
2017-2-15 9:00 PM,36.58
2017-2-15 10:00 PM,37.18
2017-2-15 11:00 PM,37.71
2017-2-16 12:00 AM,39.41
2017-2-16 1:00 AM,39.21
2017-2-16 2:00 AM,39.62
2017-2-16 3:00 AM,42.71
2017-2-16 4:00 AM,42.74
2017-2-16 5:00 AM,44.29
2017-2-16 6:00 AM,43.68
2017-2-16 7:00 AM,44.31
2017-2-16 8:00 AM,46.24
2017-2-16 9:00 AM,48.40
2017-2-16 10:00 AM,49.63
2017-2-16 11:00 AM,48.37
2017-2-16 12:00 PM,49.67
2017-2-16 1:00 PM,48.54
2017-2-16 2:00 PM,51.47
2017-2-16 3:00 PM,51.67
2017-2-16 4:00 PM,52.68
2017-2-16 5:00 PM,51.98
2017-2-16 6:00 PM,54.02
2017-2-16 7:00 PM,52.09
2017-2-16 8:00 PM,53.59
2017-2-16 9:00 PM,53.90
2017-2-16 10:00 PM,51.46
2017-2-16 11:00 PM,51.21
2017-2-17 12:00 AM,51.44
2017-2-17 1:00 AM,50.89
2017-2-17 2:00 AM,52.01
2017-2-17 3:00 AM,53.27
2017-2-17 4:00 AM,53.85
2017-2-17 5:00 AM,55.23
2017-2-17 6:00 AM,57.10
2017-2-17 7:00 AM,55.59
2017-2-17 8:00 AM,55.71
2017-2-17 9:00 AM,54.54
2017-2-17 10:00 AM,56.27
2017-2-17 11:00 AM,55.01
2017-2-17 12:00 PM,56.88
2017-2-17 1:00 PM,55.79
2017-2-17 2:00 PM,55.59
2017-2-17 3:00 PM,58.26
2017-2-17 4:00 PM,59.34
2017-2-17 5:00 PM,57.73
2017-2-17 6:00 PM,58.84
2017-2-17 7:00 PM,57.72
2017-2-17 8:00 PM,59.71
