Time,Failure_6
2017-3-5 6:00 AM,49.31
2017-3-5 7:00 AM,47.35
2017-3-5 8:00 AM,46.20
2017-3-5 9:00 AM,17.45
2017-3-5 10:00 AM,20.24
2017-3-5 11:00 AM,19.35
2017-3-5 12:00 PM,21.43
2017-3-5 1:00 PM,28.25
2017-3-5 2:00 PM,32.60
2017-3-5 3:00 PM,33.87
2017-3-5 4:00 PM,34.70
2017-3-5 5:00 PM,34.69
2017-3-5 6:00 PM,33.92
2017-3-5 7:00 PM,35.58
2017-3-5 8:00 PM,35.98
2017-3-5 9:00 PM,28.88
2017-3-5 10:00 PM,26.56
2017-3-5 11:00 PM,27.94
2017-3-6 12:00 AM,28.67
2017-3-6 1:00 AM,28.00
2017-3-6 2:00 AM,28.89
2017-3-6 3:00 AM,27.81
2017-3-6 4:00 AM,29.28
2017-3-6 5:00 AM,28.81
2017-3-6 6:00 AM,29.58
2017-3-6 7:00 AM,30.31
2017-3-6 8:00 AM,30.52
2017-3-6 9:00 AM,29.64
2017-3-6 10:00 AM,29.21
2017-3-6 11:00 AM,29.16
2017-3-6 12:00 PM,30.81
2017-3-6 1:00 PM,29.62
2017-3-6 2:00 PM,30.01
2017-3-6 3:00 PM,29.99
2017-3-6 4:00 PM,31.05
2017-3-6 5:00 PM,29.85
2017-3-6 6:00 PM,31.38
2017-3-6 7:00 PM,33.53
2017-3-6 8:00 PM,32.35
2017-3-6 9:00 PM,30.59
2017-3-6 10:00 PM,33.06
2017-3-6 11:00 PM,34.08
2017-3-7 12:00 AM,34.68
2017-3-7 1:00 AM,33.31
2017-3-7 2:00 AM,34.16
2017-3-7 3:00 AM,33.49
2017-3-7 4:00 AM,35.37
2017-3-7 5:00 AM,34.43
2017-3-7 6:00 AM,35.73
2017-3-7 7:00 AM,33.73
2017-3-7 8:00 AM,33.93
2017-3-7 9:00 AM,34.87
2017-3-7 10:00 AM,34.24
2017-3-7 11:00 AM,37.53
2017-3-7 12:00 PM,35.73
2017-3-7 1:00 PM,37.98
2017-3-7 2:00 PM,35.75
2017-3-7 3:00 PM,39.10
2017-3-7 4:00 PM,44.73
2017-3-7 5:00 PM,44.91
2017-3-7 6:00 PM,45.70
2017-3-7 7:00 PM,44.81
2017-3-7 8:00 PM,43.20
