Time,Failure_3
2017-1-27 10:00 AM,43.58
2017-1-27 11:00 AM,46.77
2017-1-27 12:00 PM,45.50
2017-1-27 1:00 PM,44.83
2017-1-27 2:00 PM,25.04
2017-1-27 3:00 PM,25.50
2017-1-27 4:00 PM,37.58
2017-1-27 5:00 PM,40.77
2017-1-27 6:00 PM,43.68
2017-1-27 7:00 PM,39.77
2017-1-27 8:00 PM,42.22
2017-1-27 9:00 PM,32.60
2017-1-27 10:00 PM,37.05
2017-1-27 11:00 PM,39.42
2017-1-28 12:00 AM,40.92
2017-1-28 1:00 AM,41.59
2017-1-28 2:00 AM,42.15
2017-1-28 3:00 AM,44.43
2017-1-28 4:00 AM,45.39
2017-1-28 5:00 AM,44.34
2017-1-28 6:00 AM,46.09
2017-1-28 7:00 AM,49.59
2017-1-28 8:00 AM,50.20
2017-1-28 9:00 AM,51.76
2017-1-28 10:00 AM,50.76
2017-1-28 11:00 AM,53.16
2017-1-28 12:00 PM,53.50
2017-1-28 1:00 PM,54.55
2017-1-28 2:00 PM,19.39
2017-1-28 3:00 PM,14.04
2017-1-28 4:00 PM,13.27
2017-1-28 5:00 PM,14.81
2017-1-28 6:00 PM,14.36
2017-1-28 7:00 PM,15.94
2017-1-28 8:00 PM,14.32
2017-1-28 9:00 PM,15.42
2017-1-28 10:00 PM,16.49
2017-1-28 11:00 PM,15.19
2017-1-29 12:00 AM,15.30
2017-1-29 1:00 AM,17.07
2017-1-29 2:00 AM,16.79
2017-1-29 3:00 AM,17.09
2017-1-29 4:00 AM,18.90
2017-1-29 5:00 AM,20.79
2017-1-29 6:00 AM,21.46
2017-1-29 7:00 AM,19.78
2017-1-29 8:00 AM,22.26
2017-1-29 9:00 AM,22.66
2017-1-29 10:00 AM,24.73
2017-1-29 11:00 AM,25.56
2017-1-29 12:00 PM,25.02
2017-1-29 1:00 PM,27.11
2017-1-29 2:00 PM,27.44
2017-1-29 3:00 PM,26.52
2017-1-29 4:00 PM,25.43
2017-1-29 5:00 PM,27.18
2017-1-29 6:00 PM,22.46
2017-1-29 7:00 PM,21.08
2017-1-29 8:00 PM,24.88
2017-1-29 9:00 PM,27.69
2017-1-29 10:00 PM,26.80
2017-1-29 11:00 PM,26.94
2017-1-30 12:00 AM,29.38
2017-1-30 1:00 AM,29.77
2017-1-30 2:00 AM,28.15
2017-1-30 3:00 AM,28.83
2017-1-30 4:00 AM,30.08
2017-1-30 5:00 AM,28.03
2017-1-30 6:00 AM,29.39
2017-1-30 7:00 AM,27.20
2017-1-30 8:00 AM,27.50
2017-1-30 9:00 AM,25.28
2017-1-30 10:00 AM,26.83
2017-1-30 11:00 AM,26.26
2017-1-30 12:00 PM,24.57
2017-1-30 1:00 PM,27.03
2017-1-30 2:00 PM,24.85
2017-1-30 3:00 PM,25.48
2017-1-30 4:00 PM,27.03
2017-1-30 5:00 PM,25.74
2017-1-30 6:00 PM,26.16
2017-1-30 7:00 PM,24.23
2017-1-30 8:00 PM,26.96
2017-1-30 9:00 PM,25.49
2017-1-30 10:00 PM,26.05
2017-1-30 11:00 PM,24.60
2017-1-31 12:00 AM,26.98
2017-1-31 1:00 AM,24.76
2017-1-31 2:00 AM,24.70
2017-1-31 3:00 AM,26.32
2017-1-31 4:00 AM,26.83
2017-1-31 5:00 AM,24.46
2017-1-31 6:00 AM,24.35
2017-1-31 7:00 AM,26.26
2017-1-31 8:00 AM,25.44
2017-1-31 9:00 AM,24.29
2017-1-31 10:00 AM,24.95
2017-1-31 11:00 AM,26.31
2017-1-31 12:00 PM,31.26
2017-1-31 1:00 PM,31.73
2017-1-31 2:00 PM,31.62
2017-1-31 3:00 PM,30.82
2017-1-31 4:00 PM,30.10
2017-1-31 5:00 PM,29.30
2017-1-31 6:00 PM,31.19
2017-1-31 7:00 PM,30.39
2017-1-31 8:00 PM,29.24
2017-1-31 9:00 PM,32.65
2017-1-31 10:00 PM,40.62
2017-1-31 11:00 PM,39.63
2017-2-1 12:00 AM,37.43
2017-2-1 1:00 AM,35.66
2017-2-1 2:00 AM,36.74
2017-2-1 3:00 AM,38.09
2017-2-1 4:00 AM,39.33
2017-2-1 5:00 AM,39.27
2017-2-1 6:00 AM,40.34
2017-2-1 7:00 AM,31.19
2017-2-1 8:00 AM,25.80
2017-2-1 9:00 AM,30.09
2017-2-1 10:00 AM,33.29
2017-2-1 11:00 AM,42.77
2017-2-1 12:00 PM,38.04
2017-2-1 1:00 PM,46.54
2017-2-1 2:00 PM,40.90
2017-2-1 3:00 PM,33.55
2017-2-1 4:00 PM,46.00
2017-2-1 5:00 PM,52.44
2017-2-1 6:00 PM,42.70
2017-2-1 7:00 PM,37.90
2017-2-1 8:00 PM,41.19
2017-2-1 9:00 PM,43.87
2017-2-1 10:00 PM,48.37
2017-2-1 11:00 PM,50.75
2017-2-2 12:00 AM,54.64
2017-2-2 1:00 AM,53.42
2017-2-2 2:00 AM,53.38
2017-2-2 3:00 AM,55.16
2017-2-2 4:00 AM,58.46
2017-2-2 5:00 AM,59.54
2017-2-2 6:00 AM,63.35
2017-2-2 7:00 AM,65.88
2017-2-2 8:00 AM,60.43
2017-2-2 9:00 AM,51.13
2017-2-2 10:00 AM,15.88
2017-2-2 11:00 AM,17.44
